Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.43     0.00        6     0.00     2.28  void std::__uninitialized_fill_n<false>::__uninit_fill_n<Ofts<Ofs<doublecomplex > >*, unsigned long, Ofts<Ofs<doublecomplex > > >(Ofts<Ofs<doublecomplex > >*, unsigned long, Ofts<Ofs<doublecomplex > > const&)
  0.00      1.43     0.00        6     0.00     2.28  std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::_M_fill_initialize(unsigned long, Ofts<Ofs<doublecomplex > > const&)
  0.00      1.43     0.00        6     0.00     2.28  std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::vector(unsigned long, Ofts<Ofs<doublecomplex > > const&, std::allocator<Ofts<Ofs<doublecomplex > > > const&)
  0.00      1.43     0.00        6     0.00     0.00  std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::~vector()
  0.00      1.43     0.00        6     0.00     2.28  void std::uninitialized_fill_n<Ofts<Ofs<doublecomplex > >*, unsigned long, Ofts<Ofs<doublecomplex > > >(Ofts<Ofs<doublecomplex > >*, unsigned long, Ofts<Ofs<doublecomplex > > const&)
  0.00      1.43     0.00        6     0.00     2.28  void std::__uninitialized_fill_n_a<Ofts<Ofs<doublecomplex > >*, unsigned long, Ofts<Ofs<doublecomplex > >, Ofts<Ofs<doublecomplex > > >(Ofts<Ofs<doublecomplex > >*, unsigned long, Ofts<Ofs<doublecomplex > > const&, std::allocator<Ofts<Ofs<doublecomplex > > >&)
  0.00      1.43     0.00        6     0.00     0.00  void std::_Destroy<Ofts<Ofs<doublecomplex > >*>(Ofts<Ofs<doublecomplex > >*, Ofts<Ofs<doublecomplex > >*)
  0.00      1.43     0.00        6     0.00     0.00  void std::_Destroy<Ofts<Ofs<doublecomplex > >*, Ofts<Ofs<doublecomplex > > >(Ofts<Ofs<doublecomplex > >*, Ofts<Ofs<doublecomplex > >*, std::allocator<Ofts<Ofs<doublecomplex > > >&)
  0.00      1.43     0.00        4     0.00     0.00  init_body(Body*, int)
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_close
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_init
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_plot_atmpfile
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_plot_xy
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_set_xlabel
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_set_ylabel
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_setcolor
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_setstyle
  0.00      1.43     0.00        4     0.00     0.00  gnuplot_tmpfile
  0.00      1.43     0.00        2     0.00     0.00  init_CR3BP(CR3BP*, int, int)
  0.00      1.43     0.00        2     0.00     0.00  coefRetrieving(std::string, double*, int, int)
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z10init_CR3BPP5CR3BPii
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z10oftsh_testv
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z14custom_odezeroPdS_dP20custom_ode_structure
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z15oneVariableTestii
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z4nfo2v
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5ENormPCdi
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5qbtbpi
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z7odePlotPKddP24gsl_odeiv2_driver_structP12gnuplot_ctrlii
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z7readCOCR3OfsICdESsiii
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z8ofs_testv
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z8qbfbp_vfdPKdPdPv
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9ofts_testv
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4FTDA3norE
  0.00      1.43     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      1.43     0.00        1     0.00     0.00  init_QBFBP(QBFBP*, int, int, int)
  0.00      1.43     0.00        1     0.00     0.00  init_QBFBP(QBFBP_L*, QBFBP*, int, int, int)
  0.00      1.43     0.00        1     0.00     0.00  cn(QBFBP_L&, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.43     0.00        1     0.00     0.00  ENorm(doublecomplex *, int)
  0.00      1.43     0.00        1     0.00   156.16  pmInt()
  0.00      1.43     0.00        1     0.00   141.74  OrbitPlot(doublecomplex  const*, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, Ofs<doublecomplex >&, double, gsl_odeiv2_driver_struct*, gsl_odeiv2_driver_struct*, gnuplot_ctrl*, gnuplot_ctrl*, gnuplot_ctrl*, gnuplot_ctrl*, double*, int, int, QBFBP&, int)
  0.00      1.43     0.00        1     0.00     0.00  FTDA::init(int, int)
  0.00      1.43     0.00        1     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags)
  0.00      1.43     0.00        1     0.00     0.00  std::setiosflags(std::_Ios_Fmtflags)
  0.00      1.43     0.00        1     0.00     0.00  std::setprecision(int)
  0.00      1.43     0.00        1     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      1.43     0.00        1     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      1.43     0.00        1     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.70% of 1.43 seconds

index % time    self  children    called     name
                0.00    0.14    1206/11974       OrbitPlot(doublecomplex  const*, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, Ofs<doublecomplex >&, double, gsl_odeiv2_driver_struct*, gsl_odeiv2_driver_struct*, gnuplot_ctrl*, gnuplot_ctrl*, gnuplot_ctrl*, gnuplot_ctrl*, double*, int, int, QBFBP&, int) [8]
                0.00    1.25   10768/11974       qbfbp_fh(double, double const*, double*, void*) [4]
[1]     97.2    0.00    1.39   11974         void Ofts<Ofs<doublecomplex > >::evaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&, int const&) [1]
                0.22    1.16   83818/83818       void Oftsh<Ofs<doublecomplex > >::sevaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&) [2]
                0.01    0.00   11974/20376       Ofs<doublecomplex >::zero() [19]
-----------------------------------------------
                0.22    1.16   83818/83818       void Ofts<Ofs<doublecomplex > >::evaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&, int const&) [1]
[2]     96.8    0.22    1.16   83818         void Oftsh<Ofs<doublecomplex > >::sevaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&) [2]
                1.12    0.00 2514540/2514540     Ofs<doublecomplex >::ofs_smult(Ofs<doublecomplex > const&, doublecomplex  const&) [5]
                0.03    0.00 5112898/5155332     FTDA::nmon(int, int) [9]
                0.01    0.00 2430722/2430722     FTDA::prxkt(int*, int) [18]
-----------------------------------------------
                                                 <spontaneous>
[3]     88.7    0.00    1.27                 rk8pd_apply [3]
                0.00    1.26    2691/2692        qbfbp_fh(double, double const*, double*, void*) [4]
                0.00    0.01    2743/2944        qbfbp_vfn_novar(double, double const*, double*, void*) [24]
-----------------------------------------------
                0.00    0.00       1/2692        gsl_odeiv2_evolve_apply [28]
                0.00    1.26    2691/2692        rk8pd_apply [3]
[4]     88.1    0.00    1.26    2692         qbfbp_fh(double, double const*, double*, void*) [4]
                0.00    1.25   10768/11974       void Ofts<Ofs<doublecomplex > >::evaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&, int const&) [1]
                0.01    0.00   10768/11974       Ofs<doublecomplex >::evaluate(double const&) [20]
                0.00    0.00   10768/10768       std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::at(unsigned long) [2056]
-----------------------------------------------
                1.12    0.00 2514540/2514540     void Oftsh<Ofs<doublecomplex > >::sevaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&) [2]
[5]     78.3    1.12    0.00 2514540         Ofs<doublecomplex >::ofs_smult(Ofs<doublecomplex > const&, doublecomplex  const&) [5]
-----------------------------------------------
                                                 <spontaneous>
[6]     10.9    0.00    0.16                 main [6]
                0.00    0.16       1/1           pmInt() [7]
                0.00    0.00       1/1           int const& std::max<int>(int const&, int const&) [2137]
                0.00    0.00       1/1           FTDA::init(int, int) [2133]
-----------------------------------------------
                0.00    0.16       1/1           main [6]
[7]     10.9    0.00    0.16       1         pmInt() [7]
                0.00    0.14       1/1           OrbitPlot(doublecomplex  const*, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, Ofs<doublecomplex >&, double, gsl_odeiv2_driver_struct*, gsl_odeiv2_driver_struct*, gnuplot_ctrl*, gnuplot_ctrl*, gnuplot_ctrl*, gnuplot_ctrl*, double*, int, int, QBFBP&, int) [8]
                0.00    0.01       6/6           std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::vector(unsigned long, Ofts<Ofs<doublecomplex > > const&, std::allocator<Ofts<Ofs<doublecomplex > > > const&) [14]
                0.00    0.00       6/6           Ofts<Ofs<doublecomplex > >::Ofts() [27]
                0.00    0.00       6/6           readVOFTS(std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::string, int) [30]
                0.00    0.00       2/8402        Ofs<doublecomplex >::Ofs(int) [26]
                0.00    0.00      14/102         std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [2067]
                0.00    0.00      12/34          gnuplot_cmd [33]
                0.00    0.00      10/60          std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [2069]
                0.00    0.00       6/6           std::allocator<Ofts<Ofs<doublecomplex > > >::allocator() [2086]
                0.00    0.00       6/40          Ofts<Ofs<doublecomplex > >::~Ofts() [2070]
                0.00    0.00       6/12          std::allocator<Ofts<Ofs<doublecomplex > > >::~allocator() [2074]
                0.00    0.00       6/6           std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::~vector() [2095]
                0.00    0.00       4/4           gnuplot_init [35]
                0.00    0.00       4/12          std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [2077]
                0.00    0.00       4/4           gnuplot_close [34]
                0.00    0.00       2/15542       Ofs<doublecomplex >::~Ofs() [2049]
                0.00    0.00       1/1           init_QBFBP(QBFBP*, int, int, int) [2115]
                0.00    0.00       1/1           init_QBFBP(QBFBP_L*, QBFBP*, int, int, int) [2116]
                0.00    0.00       1/1           std::setprecision(int) [2136]
                0.00    0.00       1/1           std::setiosflags(std::_Ios_Fmtflags) [2135]
-----------------------------------------------
                0.00    0.14       1/1           pmInt() [7]
[8]      9.9    0.00    0.14       1         OrbitPlot(doublecomplex  const*, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >&, Ofs<doublecomplex >&, double, gsl_odeiv2_driver_struct*, gsl_odeiv2_driver_struct*, gnuplot_ctrl*, gnuplot_ctrl*, gnuplot_ctrl*, gnuplot_ctrl*, double*, int, int, QBFBP&, int) [8]
                0.00    0.14    1206/11974       void Ofts<Ofs<doublecomplex > >::evaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&, int const&) [1]
                0.00    0.00    1206/11974       Ofs<doublecomplex >::evaluate(double const&) [20]
                0.00    0.00     200/2944        qbfbp_vfn_novar(double, double const*, double*, void*) [24]
                0.00    0.00    1206/12008       std::vector<Ofts<Ofs<doublecomplex > >, std::allocator<Ofts<Ofs<doublecomplex > > > >::operator[](unsigned long) [2053]
                0.00    0.00      10/34          gnuplot_cmd [33]
                0.00    0.00       8/12          std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [2077]
                0.00    0.00       4/4           gnuplot_set_xlabel [38]
                0.00    0.00       4/4           gnuplot_set_ylabel [39]
                0.00    0.00       4/4           gnuplot_plot_xy [37]
                0.00    0.00       4/102         std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [2067]
                0.00    0.00       1/1           ENorm(doublecomplex *, int) [2132]
-----------------------------------------------
                0.00    0.00      42/5155332     Ofts<Ofs<doublecomplex > >::Ofts() [27]
                0.00    0.00    7140/5155332     Ofts<Ofs<doublecomplex > >::getCoef(int const&, int const&) const [32]
                0.00    0.00    7140/5155332     Oftsh<Ofs<doublecomplex > >::getCoef(int) const [17]
                0.00    0.00    7378/5155332     readOFTS(Ofts<Ofs<doublecomplex > >&, std::string, int) [29]
                0.00    0.00    7854/5155332     Ofts<Ofs<doublecomplex > >::Ofts(Ofts<Ofs<doublecomplex > > const&) [10]
                0.00    0.00   12880/5155332     Oftsh<Ofs<doublecomplex > >::linkCoefs(Ofs<doublecomplex >*) [31]
                0.03    0.00 5112898/5155332     void Oftsh<Ofs<doublecomplex > >::sevaluate<doublecomplex >(doublecomplex *, Ofs<doublecomplex >&) [2]
[9]      2.4    0.04    0.00 5155332         FTDA::nmon(int, int) [9]
-----------------------------------------------
                0.00    0.01      34/34          void std::_Construct<Ofts<Ofs<doublecomplex > >, Ofts<Ofs<doublecomplex > > >(Ofts<Ofs<doublecomplex > >*, Ofts<Ofs<doublecomplex > > const&) [11]
[10]     1.0    0.00    0.01      34         Ofts<Ofs<doublecomplex > >::Ofts(Ofts<Ofs<doublecomplex > > const&) [10]
                0.00    0.01    7140/7140        Oftsh<Ofs<doublecomplex > >::getCoef(int) const [17]
                0.00    0.00    7140/8402        Ofs<doublecomplex >::Ofs(int) [26]
                0.00    0.00     238/280         Oftsh<Ofs<doublecomplex > >::linkCoefs(Ofs<doublecomplex >*) [31]
                0.00    0.00    7854/5155332     FTDA::nmon(int, int) [9]
                0.00    0.00   14280/15542       Ofs<doublecomplex >::~Ofs() [2049]
                0.00    0.00   14280/15540       Ofs<doublecomplex >::operator=(Ofs<doublecomplex > const&) [2050]
                0.00    0.00    7208/8480        binomial(unsigned long, unsigned long) [2057]
